time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Primary,FSM eligible,202440,2576,205016,19227,14853,4374,7471,224243,94421,100975,195396,7044,12453,736,0,0,0,146,22,1386,340,292,183,217,1836,0,803,427,2700,444,110,91.42581931,8.574180688,6.623618129,1.950562559,5.553350606,0.328215374,0.358093675,1.204050963,0.19041843,0.197999492,0,0,0,0.065107941,0.009810786,0.618079494,0.049053928,31.40540541,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Secondary,FSM Not eligible,2208373,19373,2227746,153611,114213,39398,41098,2381357,1077987,1089912,2167899,40474,98461,5430,51,1,4,495,2896,6875,5842,7161,46,1524,10534,1427,8320,624,28322,2132,0,93.54943421,6.450565791,4.796130946,1.654434845,4.134659356,0.22802125,0.349380626,1.189321887,0.026203547,0.089528785,0.002141636,4.20E-05,0.000167971,0.020786468,0.121611333,0.288700938,0,19.01617527,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,Special,FSM Not eligible,13346,38,13384,1887,1711,176,100,15271,6625,6621,13246,100,1021,126,0,0,0,40,128,396,38,0,0,0,0,0,0,0,176,0,0,87.64324537,12.35675463,11.20424334,1.152511296,6.685875188,0.825093314,0,1.152511296,0,0,0,0,0,0.261934385,0.838190033,2.593150416,0,38.70967742,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000031,Waltham Forest,320,Secondary,FSM eligible,352928,3252,356180,39032,21715,17317,15009,395212,166330,172328,338658,14270,17428,1467,2,0,27,0,775,1990,1280,1987,42,216,1707,7,1642,739,13611,1325,26,90.12378167,9.876218333,5.494519397,4.381698936,4.409785128,0.371193182,0.415473214,3.443974373,0.186988249,0.335263099,0.000506058,0,0.006831776,0,0.196097284,0.503527221,0.006578748,33.57079252,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Primary,FSM eligible,411383,5806,417189,38756,26209,12547,13024,455945,194145,205250,399395,11988,22538,1353,11,0,18,139,184,1456,1807,817,345,120,3534,0,1613,1036,8835,1063,510,91.49985196,8.500148044,5.748281043,2.751867002,4.943140072,0.296746318,0.35377074,1.937733718,0.227220388,0.233142155,0.002412572,0,0.003947845,0.030486133,0.040355745,0.319336762,0.111855597,30.55920189,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000026,Redbridge,317,Secondary,FSM eligible,181739,1911,183650,20315,13080,7235,6733,203965,85328,90110,175438,6301,9990,619,12,0,0,6,397,2056,1051,2149,39,68,687,66,614,432,5728,461,0,90.03995784,9.960042164,6.412864952,3.547177212,4.897899149,0.303483441,0.30103204,2.808324958,0.211801044,0.22601917,0.005883362,0,0,0.002941681,0.194641237,1.008016081,0,33.90903857,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Primary,FSM eligible,3551748,15447,3567195,332815,231478,101337,87539,3900010,1799315,1673726,3473041,78707,201467,9294,74,13,29,1059,1831,17487,1901,1077,74,475,12997,0,28957,8832,59578,3970,224,91.46630393,8.533696067,5.935318115,2.598377953,5.165807267,0.238307081,0.742485276,1.527637109,0.226460958,0.101794611,0.001897431,0.000333332,0.000743588,0.027153777,0.046948598,0.448383466,0.005743575,30.0091659,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Primary,FSM Not eligible,3671458,31264,3702722,197928,170696,27232,18694,3900650,1824685,1830430,3655115,16343,148416,8015,88,3,1011,3745,614,8491,2855,468,2,3824,24583,0,16591,2351,7742,548,313,94.92576878,5.074231218,4.376091164,0.698140054,3.804904311,0.205478574,0.425339367,0.198479741,0.060272006,0.014048941,0.002256034,7.69E-05,0.025918757,0.096009639,0.015740966,0.217681668,0.008024304,15.02561363,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,332,Secondary,FSM Not eligible,1535317,11468,1546785,129122,93476,35646,43817,1675907,738603,754684,1493287,42030,77246,4846,41,0,0,438,2692,8211,2810,11669,24,1141,7441,52,5453,1787,27305,1101,2,92.29539587,7.704604134,5.577636468,2.126967666,4.609205642,0.289156857,0.32537605,1.629267018,0.106628828,0.06569577,0.002446436,0,0,0.026135102,0.160629438,0.489943654,0.000119338,24.08043876,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Primary,FSM eligible,779532,5401,784933,74865,51976,22889,15488,859798,376865,389759,766624,12908,45431,2242,4,0,14,126,237,3635,795,259,0,194,4412,0,4862,2580,15276,171,287,91.29272224,8.707277756,6.045140835,2.662136921,5.283915524,0.260758922,0.56548166,1.776696387,0.300070482,0.019888392,0.000465226,0,0.001628289,0.014654605,0.027564614,0.422773721,0.033379933,32.76723277,202223
