time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Primary,Male,384094,2133,386227,28072,22263,5809,3463,414299,189533,191729,381262,2832,18300,936,7,0,1155,567,298,993,213,521,1,562,1357,0,2802,631,2167,209,7,93.22421729,6.775782708,5.373655259,1.402127449,4.417099727,0.225923789,0.676323139,0.523052192,0.152305461,0.050446658,0.001689601,0,0.278784163,0.13685768,0.071928728,0.239681969,0.001689601,23.19277108,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,Secondary,Female,3057808,32328,3090136,307598,226701,80897,90025,3397734,1490066,1483215,2973281,84527,187550,12528,233,718,339,771,3415,21048,15222,11505,457,2010,14466,173,5500,5498,68494,1405,99,90.94696642,9.053033581,6.672123244,2.380910336,5.519855292,0.368716327,0.161872589,2.015872932,0.161813726,0.041351089,0.006857512,0.021131731,0.009977238,0.022691594,0.100508162,0.619471683,0.002913707,27.42357165,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Primary,Male,1615673,13168,1628841,102000,86505,15495,11951,1730841,799614,805637,1605251,10422,75158,4421,34,18,56,1598,241,4896,1523,753,115,774,10756,0,7012,1529,6603,351,83,94.10691103,5.893088967,4.997859422,0.895229544,4.342282162,0.255424964,0.405120979,0.381490848,0.088338559,0.020279159,0.001964363,0.001039957,0.003235421,0.09232506,0.013923867,0.28286827,0.004795357,18.89278808,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,353,Special,Female,27375,338,27713,5581,4956,625,322,33294,13459,13641,27100,275,3065,429,0,0,0,230,35,1197,247,0,2,5,84,0,11,47,481,86,0,83.23721992,16.76278008,14.88556497,1.877215114,9.205862918,1.288520454,0.033038986,1.444704752,0.141166577,0.2583048,0,0,0,0.690815162,0.105124046,3.595242386,0,48.31460674,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,826,Secondary,Female,646902,5100,652002,69704,45512,24192,22861,721706,309027,316007,625034,21868,37299,2773,0,0,0,24,1632,3784,374,4901,42,302,3198,1184,1643,993,20600,956,0,90.34177352,9.65822648,6.306168994,3.352057486,5.168170973,0.384228481,0.227655029,2.854347892,0.137590653,0.132463912,0,0,0,0.003325454,0.226130862,0.524313224,0,28.2546495,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,Secondary,Male,659774,5765,665539,70679,51526,19153,14659,736218,325676,321112,646788,12986,41514,2272,20,0,24,190,2647,4843,1117,3306,44,473,4073,58,1415,1673,14956,1109,16,90.39971856,9.600281438,6.99874222,2.601539218,5.638818937,0.308604245,0.192198506,2.031463507,0.227242474,0.15063473,0.002716587,0,0.003259904,0.025807573,0.359540245,0.65782146,0.002173269,30.51221434,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Secondary,Male,388224,4422,392646,42128,36450,5678,8297,434774,189046,191409,380455,7769,31212,1907,6,0,25,242,809,2243,864,1025,21,701,2833,3,597,528,4211,342,6,90.31036815,9.689631855,8.383665997,1.305965858,7.178902142,0.438618685,0.137312719,0.968549177,0.121442405,0.078661557,0.001380027,0,0.005750114,0.055661102,0.186073684,0.515900215,0.001380027,36.64810395,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000064,Westmorland and Furness,943,Secondary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Secondary,Female,407218,3644,410862,35354,27313,8041,15582,446216,191949,200529,392478,14740,23123,1616,12,0,0,170,322,2066,1200,1850,78,411,1929,26,920,842,5999,280,4,92.07693135,7.923068648,6.121026588,1.80204206,5.18201947,0.362156444,0.206178174,1.344416157,0.18869785,0.062749879,0.002689281,0,0,0.038098141,0.072162361,0.463004464,0.000896427,24.64352973,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000026,Redbridge,317,Secondary,Male,926855,6079,932934,72004,51284,20720,20373,1004938,447488,460637,908125,18730,42932,2412,99,0,0,78,1674,4082,2422,4419,126,200,3281,50,3892,1643,14202,983,7,92.83498086,7.165019136,5.103200396,2.061818739,4.272104349,0.240014807,0.387287574,1.413221512,0.163492673,0.09781698,0.009851354,0,0,0.007761673,0.166577441,0.406194213,0.00069656,23.75756138,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Primary,Female,1327379,7948,1335327,95781,67217,28564,16964,1431108,650559,662218,1312777,14602,58837,2350,1529,0,56,642,42,3737,128,67,10,797,7013,0,9332,2362,15636,1234,24,93.30721371,6.692786289,4.696850273,1.995936016,4.111289993,0.164208432,0.652082163,1.092580015,0.165046943,0.086226896,0.106840294,0,0.003913052,0.044860346,0.002934789,0.261126344,0.001677022,22.40094819,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Secondary,Male,1152864,11517,1164381,106972,86691,20281,27168,1271353,557422,569495,1126917,25947,72290,4191,59,0,0,227,1947,7716,937,4240,93,2040,8378,69,2530,1221,15534,996,259,91.5859718,8.414028205,6.818798556,1.595229649,5.686068307,0.329648807,0.199000592,1.221847905,0.096039416,0.078341735,0.004640725,0,0,0.017854994,0.153143934,0.606912478,0.020371997,25.65186118,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000012,Hackney,204,Special,Female,7965,131,8096,1224,1114,110,165,9320,3811,3989,7800,165,774,128,0,0,0,0,19,193,130,0,0,0,1,0,0,0,110,0,0,86.86695279,13.13304721,11.9527897,1.180257511,8.30472103,1.373390558,0,1.180257511,0,0,0,0,0,0,0.203862661,2.070815451,0,42.10526316,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Primary,Male,1391754,9634,1401388,96255,77174,19081,15333,1497643,684709,694289,1378998,12756,68169,3256,49,0,42,715,456,4282,2101,438,52,877,6604,0,6965,2577,8991,548,205,93.57290088,6.427099115,5.153030462,1.274068653,4.55175232,0.217408288,0.465064104,0.60034334,0.17207038,0.03659083,0.003271808,0,0.002804407,0.047741685,0.030447844,0.285915936,0.013688175,21.00385467,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Special,Female,29277,398,29675,6595,5807,788,207,36270,14625,14460,29085,192,2859,664,2,0,0,112,67,2103,342,748,0,8,40,8,90,15,670,13,0,81.81692859,18.18307141,16.01047698,2.172594431,7.88254756,1.830714089,0.248138958,1.847256686,0.041356493,0.035842294,0.005514199,0,0,0.308795148,0.184725669,5.798180314,0,46.17737003,202223
202223,Autumn term,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Special,Female,70504,840,71344,8917,7688,1229,1117,80261,34499,35001,69500,1004,4912,1079,3,1,5,176,10,1502,535,0,4,46,255,0,182,113,808,126,0,88.88999639,11.11000361,9.57874933,1.531254283,6.120033391,1.344364012,0.226760195,1.00671559,0.14079067,0.156987827,0.003737805,0.001245935,0.006229676,0.219284584,0.012459351,1.871394575,0,37.09677419,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Special,Male,70444,2078,72522,10404,8845,1559,578,82926,34971,34952,69923,521,4942,688,0,0,0,12,250,2953,1750,74,6,16,306,0,182,57,1304,16,0,87.45387454,12.54612546,10.66613607,1.879989388,5.959530184,0.829655355,0.219472783,1.572486313,0.068735981,0.019294311,0,0,0,0.014470733,0.301473603,3.561006198,0,38.20058997,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Primary,Female,1368413,11956,1380369,88094,72031,16063,13640,1468463,674594,682220,1356814,11599,62666,3631,77,1,386,994,37,4142,821,378,5,1236,9894,0,7971,2041,5767,284,97,94.0009384,5.999061604,4.905196794,1.09386481,4.267455155,0.247265338,0.542812451,0.392723548,0.138988861,0.019339949,0.005243578,6.81E-05,0.026285987,0.067689823,0.002519641,0.282063627,0.006605546,19.24640135,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Primary,Male,857303,4861,862164,61075,46591,14484,10608,923239,420405,427677,848082,9221,41452,1840,58,0,0,658,184,2394,391,2013,11,118,4341,0,4558,1387,8194,345,5,93.3847032,6.615296797,5.046472257,1.568824541,4.489844991,0.19929834,0.493696648,0.887527498,0.150231955,0.037368439,0.00628223,0,0,0.071270819,0.019929834,0.25930447,0.000541572,22.64579652,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,867,Special,Female,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Secondary,Female,385565,5655,391220,52994,32124,20870,11095,444214,184274,190825,375099,10466,26620,1555,4,0,0,167,1239,2539,4453,1154,15,267,920,0,1066,629,18755,420,0,88.07016438,11.92983562,7.23164961,4.698186009,5.992607167,0.350056504,0.239974427,4.22206414,0.141598419,0.094549024,0.000900467,0,0,0.037594493,0.27891962,0.57157136,0,40.18617021,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,876,Secondary,Male,439619,2153,441772,45771,28040,17731,16272,487543,207439,216699,424138,15481,23715,1251,18,0,0,211,938,1907,844,3551,34,216,1012,47,1852,791,14879,209,0,90.611905,9.388094999,5.751287579,3.63680742,4.864186338,0.256592752,0.37986393,3.051833377,0.1622421,0.042868014,0.003691982,0,0,0.043278234,0.192393286,0.391144986,0,29.12988651,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Secondary,Male,472236,4496,476732,39475,30578,8897,17737,516207,222620,232595,455215,17021,25921,1588,21,0,8,160,684,2192,1464,1555,71,347,2559,55,1214,716,6758,209,4,92.35287394,7.647126056,5.923592667,1.723533389,5.021435199,0.307628529,0.235176974,1.309164734,0.138704047,0.040487634,0.004068135,0,0.001549766,0.030995318,0.132504983,0.424635853,0.000774883,23.30479056,202223
202223,Autumn term,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Special,Female,17378,240,17618,2613,2255,358,142,20231,8564,8684,17248,130,1726,197,0,0,0,6,36,290,194,0,1,0,45,0,100,12,246,0,0,87.08417775,12.91582225,11.14626069,1.769561564,8.531461618,0.973753151,0.49429094,1.215955712,0.059314913,0,0,0,0,0.029657456,0.177944738,1.433443725,0,41.97530864,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Primary,Female,557031,1267,558298,41591,26976,14615,11447,599889,267794,278357,546151,10880,24682,1111,22,0,6,82,15,1030,104,478,2,175,986,0,3864,567,9784,400,28,93.06688404,6.93311596,4.496831914,2.436284046,4.114427836,0.185200929,0.644119162,1.630968396,0.094517486,0.066679002,0.003667345,0,0.001000185,0.013669195,0.002500463,0.171698431,0.00466753,24.12280702,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Primary,Male,496789,6799,503588,39987,28548,11439,11425,543575,238490,247550,486040,10749,24174,1599,63,1,25,210,244,1609,2103,963,477,186,4033,0,1676,676,7897,1190,623,92.64370142,7.356298579,5.251897162,2.104401417,4.447224394,0.294163639,0.308329117,1.452789403,0.124361864,0.218921032,0.011589937,0.000183967,0.004599181,0.038633123,0.04488801,0.296003311,0.114611599,24.47275923,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Primary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Primary,Male,2431464,23893,2455357,171736,146621,25115,19100,2627093,1203177,1212568,2415745,15719,126136,6229,70,0,325,2292,1219,10241,6419,1868,73,2128,15273,0,8406,3381,12397,931,108,93.46288845,6.537111553,5.581111898,0.955999654,4.801352674,0.237106185,0.319973446,0.471890413,0.128697385,0.03543841,0.002664542,0,0.012371088,0.087244723,0.046401098,0.389822515,0.004111008,21.226525,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Secondary,Female,1441889,10939,1452828,128604,87260,41344,35405,1581432,697199,710221,1407420,34469,74067,4408,22,1,3,267,2369,6123,2748,6575,33,795,6984,379,5816,936,33002,1590,0,91.86787671,8.132123291,5.517783882,2.614339409,4.683539981,0.278734716,0.367767947,2.086842811,0.059186864,0.100541787,0.001391144,6.32E-05,0.000189701,0.016883432,0.14980094,0.387180732,0,24.86192083,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Special,Male,50741,1592,52333,9290,6588,2702,1538,61623,23983,25267,49250,1491,3616,772,0,1,0,223,108,1747,1227,60,1,0,178,186,57,47,2411,187,121,84.92446002,15.07553998,10.69081349,4.384726482,5.867938919,1.252778995,0.092497931,3.912500203,0.076270224,0.303458124,0,0.001622771,0,0.36187787,0.175259238,2.834980446,0.196355257,42.88537549,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Primary,Female,694692,6001,700693,43676,36381,7295,6126,744369,342785,346794,689579,5113,32595,1473,13,0,24,409,45,1813,859,176,9,770,4363,0,3165,1013,2418,699,9,94.13247999,5.867520007,4.887495315,0.980024692,4.378876606,0.197885726,0.425192344,0.32483889,0.136088419,0.093905039,0.001746446,0,0.003224207,0.054945867,0.006045389,0.243561997,0.001209078,18.33635914,202223
