time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Primary,SEN support,266915,1788,268703,21463,15746,5717,4263,290166,130211,133037,263248,3667,13407,918,0,0,0,406,162,845,94,8,0,504,1190,0,1857,596,3225,39,8,92.60319955,7.396800452,5.426548941,1.970251511,4.620458634,0.316370629,0.639978495,1.111432766,0.205399668,0.013440582,0,0,0,0.139919908,0.055830111,0.291212616,0.002757043,26.09067579,202223
202223,Autumn term,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Secondary,No SEN,5736431,73017,5809448,447021,367028,79993,138260,6256469,2779044,2824440,5603484,132947,303140,22704,1087,5769,107,1558,5212,27430,16726,6928,212,11194,43430,1455,8832,5313,56625,9223,21,92.8550593,7.144940701,5.866376066,1.278564634,4.845224998,0.362888396,0.141165888,0.905063223,0.084920104,0.147415419,0.017374017,0.09220856,0.00171023,0.024902225,0.083305775,0.438426211,0.000335653,22.61925181,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Secondary,SEN support,151149,2223,153372,17532,10762,6770,5882,170904,71199,74163,145362,5787,8883,669,10,16,11,10,500,663,1364,1262,19,79,761,0,339,95,6136,200,0,89.74160932,10.25839068,6.297102467,3.961288209,5.197654824,0.39144783,0.198356972,3.590319712,0.055586762,0.117024762,0.005851238,0.009361981,0.006436362,0.005851238,0.292561906,0.387937087,0,32.0055905,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Primary,EHC plan,48966,889,49855,6196,4484,1712,1100,56051,23595,24460,48055,911,3089,489,6,0,0,52,233,615,605,594,5,5,274,0,423,189,1049,51,0,88.94578152,11.05421848,7.999857273,3.054361207,5.511052434,0.872419761,0.754669854,1.871509875,0.337192914,0.090988564,0.010704537,0,0,0.092772653,0.415692851,1.097215036,0,40,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,Primary,SEN support,545103,3328,548431,53624,40351,13273,10539,602055,264297,272124,536421,8682,32219,2266,25,0,24,274,650,4864,727,1855,34,317,2250,0,2163,1857,8911,342,29,91.09317255,8.906827449,6.702211592,2.204615857,5.351504431,0.376377573,0.359269502,1.480097333,0.308443581,0.056805441,0.004152445,0,0.003986347,0.045510792,0.107963558,0.807899611,0.004816836,29.84926616,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Primary,No SEN,1609282,8077,1617359,108109,76090,32019,19167,1725468,789427,802764,1592191,17091,68834,3343,57,1,5,880,75,2861,1424,291,3,220,6430,0,9906,2076,19458,579,34,93.73451145,6.265488552,4.40981809,1.855670462,3.989294499,0.193744538,0.574105112,1.127694052,0.120315184,0.033556113,0.003303452,5.80E-05,0.000289776,0.051000656,0.004346647,0.165810087,0.00197048,21.35935866,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Special,EHC plan,162435,907,163342,24736,19552,5184,1285,188078,80620,80797,161417,1018,13466,1595,6,2,0,300,1142,2985,630,64,0,77,196,4,491,267,4041,385,56,86.84800987,13.15199013,10.3956869,2.756303236,7.159795404,0.848052404,0.2610619,2.148576654,0.141962377,0.204702304,0.003190166,0.001063389,0,0.159508289,0.607194887,1.587107477,0.029774881,40.02425713,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Primary,SEN support,260830,3385,264215,21096,15892,5204,8128,285311,123392,129956,253348,7482,13256,1003,3,0,14,222,142,1219,735,355,165,61,2424,0,945,646,3423,190,33,92.60596332,7.394036683,5.570062143,1.82397454,4.646158052,0.351546207,0.331217514,1.199743438,0.226419591,0.066593997,0.001051484,0,0.004906926,0.077809829,0.049770251,0.427253068,0.011566326,26.69421488,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Secondary,SEN support,317031,4720,321751,48214,29667,18547,15322,369965,148384,153984,302368,14663,21508,1210,0,0,0,145,1817,4985,3677,1947,20,33,970,20,1092,659,14949,1847,2,86.96795643,13.03204357,8.01886665,5.013176922,5.813522901,0.327057965,0.295163056,4.040652494,0.178124958,0.499236414,0,0,0,0.039192897,0.491127539,1.347424756,0.000540592,40.28326746,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,Secondary,No SEN,721450,10271,731721,54947,44061,10886,16198,786668,384385,321446,705831,15619,37147,2983,46,1398,4,214,275,1982,1949,1287,112,1875,6326,9,1113,579,8856,338,12,93.0152237,6.984776297,5.600965083,1.383811214,4.722068268,0.379194273,0.141482811,1.125760804,0.07360157,0.042966029,0.005847448,0.177711563,0.000508474,0.027203344,0.034957568,0.251948726,0.001525421,22.24209899,202223
