time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Special,FSM eligible,17843,441,18284,2829,2360,469,110,21113,9070,8690,17760,83,1098,426,0,0,0,14,4,818,212,0,0,0,229,0,4,27,438,0,0,86.60067257,13.39932743,11.17794724,2.221380192,5.200587316,2.017714205,0.018945673,2.074551224,0.127883295,0,0,0,0,0.066309856,0.018945673,3.874390186,0,40.88669951,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,Secondary,FSM Not eligible,1389280,15305,1404585,113788,77047,36741,40392,1518373,667053,685552,1352605,36675,54084,4616,20,2,107,127,3862,10679,5355,9095,177,764,5904,3105,3967,3717,27871,1186,3550,92.50592575,7.494074249,5.074313097,2.419761152,3.561970609,0.304009621,0.2612665,1.83558322,0.244801508,0.078109924,0.001317199,0.00013172,0.007047017,0.008364216,0.254351204,0.703318618,0.233802893,20.49152193,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Secondary,FSM Not eligible,880890,7492,888382,64748,45806,18942,29601,953130,418161,434504,852665,28225,37888,2727,31,9,1,278,1157,3671,1587,1991,213,561,4032,1099,3354,1376,13018,1194,44,93.20680285,6.79319715,4.805850199,1.987346952,3.975113573,0.286109975,0.351893236,1.365815786,0.144366456,0.125271474,0.003252442,0.000944257,0.000104917,0.02916706,0.121389527,0.385152078,0.004616369,20.86927299,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Special,FSM Not eligible,70981,1159,72140,9592,8511,1081,387,81732,35402,35281,70683,298,4868,947,2,11,1,545,82,2055,835,369,3,41,230,50,28,89,927,37,0,88.26408261,11.73591739,10.41330201,1.322615377,5.956051485,1.158664905,0.034258308,1.134194685,0.108892478,0.045269907,0.002447022,0.013458621,0.001223511,0.666813488,0.100327901,2.514315079,0,36.53585927,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,Special,FSM eligible,19406,155,19561,3037,2536,501,349,22598,9405,9720,19125,281,1393,270,2,0,0,102,1,768,92,2,0,0,59,4,30,68,250,153,0,86.56075759,13.43924241,11.22223206,2.217010355,6.164262324,1.194796,0.132755111,1.106292592,0.300911585,0.677051066,0.008850341,0,0,0.451367378,0.00442517,3.398530843,0,43.28358209,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Special,FSM eligible,23748,492,24240,4045,2826,1219,479,28285,11542,11789,23331,417,1687,215,0,0,12,0,81,831,382,26,11,10,66,23,52,62,1081,24,0,85.69913382,14.30086618,9.991161393,4.309704791,5.964292028,0.760120205,0.183843026,3.821813682,0.219197454,0.084850628,0,0,0.042425314,0,0.286370868,2.937952979,0,42.62948207,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000003,Barnet,302,Primary,FSM eligible,532173,3316,535489,43693,31649,12044,13382,579182,254905,265805,520710,11463,25872,2284,147,0,0,243,110,2993,475,614,51,283,2507,0,1129,1919,8767,229,0,92.45608462,7.543915384,5.46443087,2.079484514,4.466989651,0.394349272,0.194930091,1.513686544,0.331329358,0.039538522,0.025380623,0,0,0.041955724,0.018992303,0.516763297,0,26.59495549,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,Primary,FSM Not eligible,2435543,11493,2447036,135142,107182,27960,21219,2582178,1202361,1214821,2417182,18361,92286,5359,95,0,26,1053,526,7812,1762,487,21,2232,7478,0,9860,2858,14375,867,25,94.76635615,5.233643846,4.150837007,1.08280684,3.573959657,0.207537978,0.381848192,0.556700584,0.110681758,0.033576307,0.003679065,0,0.001006902,0.040779528,0.0203704,0.302535302,0.000968175,15.46830852,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Primary,FSM Not eligible,1700730,7154,1707884,74893,57184,17709,16194,1782777,838237,847753,1685990,14740,48958,3968,59,1,129,506,203,3328,1451,656,48,815,4840,0,9818,1454,5923,514,32,95.79908199,4.200918006,3.207580084,0.993337922,2.746165112,0.222574108,0.550713858,0.332234486,0.081558153,0.028831424,0.003309444,5.61E-05,0.007235902,0.028382686,0.01138673,0.186675058,0.001794952,11.41835518,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000066,Somerset,933,Secondary,FSM eligible,176650,3194,179844,40773,21767,19006,9530,220617,83039,85485,168524,8126,13640,1042,2,0,1,107,1275,5474,1904,1293,31,110,557,592,316,1404,16759,527,226,81.51864997,18.48135003,9.866420085,8.614929946,6.182660448,0.472311744,0.143234656,7.59642276,0.636397014,0.238875517,0.000906548,0,0.000453274,0.048500342,0.577924639,2.481223115,0.102439975,47.25124943,202223
