time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Primary,Male,982366,7656,990022,60215,46813,13402,10887,1050237,483634,490382,974016,8350,39440,2072,19,1,56,626,720,3879,1541,1060,18,399,5698,0,2669,2537,7993,203,0,94.26653222,5.733467779,4.457374859,1.27609292,3.755342842,0.197288802,0.254133115,0.761066312,0.241564523,0.019328971,0.001809115,9.52E-05,0.00533213,0.059605594,0.068555955,0.369345205,0,17.7739166,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,355,Secondary,Male,612569,10420,622989,64730,26409,38321,32975,687719,278949,303706,582655,29914,15639,1592,16,0,8,4,3894,5256,7257,3343,137,308,1675,1043,1823,3061,32898,539,0,90.58772551,9.41227449,3.840085849,5.572188641,2.274039251,0.231489896,0.265079197,4.78363983,0.445094581,0.078375034,0.002326532,0,0.001163266,0.000581633,0.566219633,0.764265638,0,25.5409936,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Special,Male,13341,202,13543,3184,1794,1390,433,16727,6295,6672,12967,374,887,99,0,0,0,18,40,750,189,180,0,0,13,0,56,59,1273,2,0,80.96490704,19.03509296,10.72517487,8.309918096,5.30280385,0.591857476,0.334788067,7.61045017,0.352723142,0.011956717,0,0,0,0.10761045,0.239134334,4.483768757,0,46.79487179,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000001,City of London,201,Primary,Male,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,Special,Male,31617,1639,33256,12373,6534,5839,633,45629,15547,15693,31240,377,2570,365,0,0,0,30,644,2917,1591,307,3,1,29,15,170,256,5413,0,8,72.88347323,27.11652677,14.31984045,12.79668632,5.632382914,0.799929869,0.372570076,11.86306954,0.561046703,0,0,0,0,0.06574766,1.411383112,6.392864187,0.017532709,56.08108108,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Special,Male,24269,379,24648,2800,2310,490,255,27448,12005,12083,24088,181,1659,246,0,0,0,80,91,234,165,0,0,9,130,75,24,74,392,0,0,89.79889245,10.20110755,8.415913728,1.785193821,6.044156223,0.896240163,0.087438065,1.428155057,0.2696007,0,0,0,0,0.291460216,0.331535995,0.852521131,0,30.5785124,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Secondary,Male,771358,6546,777904,76923,43736,33187,38440,854827,357993,376477,734470,36888,31799,2142,14,1,22,138,2356,7263,2756,2506,103,212,2489,986,1724,1552,29131,780,1,91.00133711,8.998662887,5.116356877,3.88230601,3.719933975,0.250577017,0.201678234,3.407824039,0.181557204,0.091246533,0.001637758,0.000116983,0.00257362,0.016143617,0.275611323,0.849645601,0.000116983,25.67802936,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,Special,Female,18602,393,18995,2944,2033,911,214,21939,9245,9185,18430,172,1235,188,0,0,0,50,16,544,297,0,0,1,74,21,15,42,849,5,0,86.58097452,13.41902548,9.266602853,4.152422626,5.629244724,0.856921464,0.068371393,3.869820867,0.191439902,0.022790464,0,0,0,0.227904645,0.072929486,2.479602534,0,35.4679803,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Primary,Male,2801669,23682,2825351,151038,115978,35060,26420,2976389,1382371,1396265,2778636,23033,94283,7384,111,1,286,882,864,12131,4284,491,23,1601,17774,0,11162,3387,19739,772,36,94.92546169,5.074538308,3.896600881,1.177937427,3.167697502,0.248085852,0.375018185,0.663186163,0.113795609,0.02593747,0.003729351,3.36E-05,0.009608959,0.029633223,0.029028464,0.407574413,0.001209519,14.95306379,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Secondary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
