time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Secondary,SEN support,581686,11058,592744,93917,56771,37146,32518,686661,267358,282810,550168,31518,37081,3722,3,17,0,131,5338,10471,6543,10928,134,356,2266,1759,1111,1000,34591,444,8,86.32265412,13.67734588,8.267689588,5.409656293,5.400190196,0.542043308,0.161797452,5.037565844,0.14563227,0.064660728,0.000436897,0.002475749,0,0.019077827,0.777385056,1.524915497,0.001165058,35.43626103,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Secondary,SEN support,95495,2627,98122,14304,8321,5983,8734,112426,40424,46486,86910,8585,6208,704,2,0,0,8,552,847,1866,1953,33,69,481,178,381,149,4654,799,0,87.2769644,12.7230356,7.401312864,5.321722733,5.521854375,0.626189671,0.338889581,4.139611834,0.132531621,0.710689698,0.001778948,0,0,0.007115792,0.490989629,0.753384448,0,40.6360424,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,Special,EHC plan,20306,215,20521,2335,2110,225,318,22856,9970,10019,19989,317,1252,184,0,0,0,172,112,390,113,0,0,0,102,0,8,1,216,0,0,89.78386419,10.21613581,9.231711586,0.984424221,5.477773889,0.805040252,0.03500175,0.945047252,0.004375219,0,0,0,0,0.752537627,0.490024501,1.706335317,0,31.7535545,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Primary,SEN support,215508,1762,217270,16915,12007,4908,6707,234185,101731,107816,209547,5961,9830,1159,5,7,0,73,64,858,253,366,143,117,1249,0,1111,746,2870,181,11,92.77707795,7.222922049,5.127143071,2.095778978,4.197536136,0.494907872,0.474411256,1.225526827,0.318551572,0.077289323,0.002135064,0.00298909,0,0.031171937,0.027328821,0.36637701,0.004697141,24.76503759,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000027,Torbay,880,Special,SEN support,539,70,609,95,89,6,1,704,274,264,538,1,29,0,0,0,0,0,41,19,70,0,0,0,0,0,0,0,6,0,0,86.50568182,13.49431818,12.64204545,0.852272727,4.119318182,0,0,0.852272727,0,0,0,0,0,0,5.823863636,2.698863636,0,42.85714286,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Primary,No SEN,7284396,34890,7319286,459989,312290,147699,123109,7779275,3736636,3435565,7172201,112195,268251,12959,291,0,33,1803,788,25739,4966,439,54,1162,28708,0,45908,10914,85016,5861,2426,94.08699397,5.913006032,4.014384374,1.898621658,3.448277635,0.166583647,0.590132114,1.092852483,0.14029585,0.075341211,0.003740708,0,0.000424204,0.023176967,0.010129479,0.330866308,0.031185425,19.0072924,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Special,EHC plan,34856,465,35321,4472,3565,907,506,39793,17056,17412,34468,388,2424,392,2,0,0,138,97,512,165,0,2,12,190,96,46,118,743,0,0,88.76184254,11.23815746,8.958862111,2.279295353,6.091523635,0.985097882,0.115598221,1.867162566,0.296534566,0,0.00502601,0,0,0.346794662,0.243761466,1.286658458,0,33.04843305,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Primary,SEN support,486951,3728,490679,39214,30913,8301,9567,529893,235680,243139,478819,8132,25654,2077,5,0,108,154,268,2645,161,794,18,336,3213,0,2182,1435,4474,210,2,92.59963804,7.40036196,5.83381928,1.566542679,4.841354764,0.391965925,0.411781246,0.844321401,0.27080939,0.039630642,0.000943587,0,0.020381473,0.029062471,0.050576248,0.499157377,0.000377435,24.28601209,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,353,Secondary,SEN support,165224,3267,168491,24540,11155,13385,11549,193031,79964,74885,154849,10375,7708,1126,0,0,0,45,1076,1200,2263,1315,52,80,684,188,921,1174,11278,12,0,87.28701608,12.71298392,5.778864535,6.93411939,3.993140998,0.583325994,0.477125436,5.84258487,0.608192466,0.006216618,0,0,0,0.023312318,0.557423419,0.621661806,0,34.82777474,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,Special,No SEN,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Primary,No SEN,6737613,56545,6794158,312681,260685,51996,46781,7106839,3337184,3361004,6698188,39425,225171,13560,369,1,613,6357,166,14422,5529,760,107,5919,44988,2,20402,7356,21079,3159,25,95.60028024,4.399719763,3.668086473,0.73163329,3.168370636,0.190802127,0.28707559,0.296601626,0.103505933,0.044450142,0.005192182,1.41E-05,0.008625494,0.08944905,0.002335778,0.202931289,0.000351774,12.52866702,202223
