time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Special,FSM eligible,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Special,FSM eligible,33224,1713,34937,5528,3757,1771,526,40465,16356,16458,32814,410,1907,315,126,0,0,268,45,1002,668,0,3,39,1001,2,220,116,1429,6,94,86.33881132,13.66118868,9.28456691,4.376621772,4.712714692,0.778450513,0.543679723,3.531446929,0.28666749,0.014827629,0.311380205,0,0,0.662300754,0.111207216,2.476214012,0.232299518,37.18309859,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Special,FSM Not eligible,3128,302,3430,436,184,252,21,3866,1559,1548,3107,21,67,15,0,0,0,0,40,62,302,54,0,0,0,0,12,0,240,0,0,88.72219348,11.27780652,4.759441283,6.518365235,1.733057424,0.387997931,0.310398345,6.207966891,0,0,0,0,0,0,1.034661148,1.60372478,0,22.85714286,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Primary,FSM eligible,528769,12408,541177,50411,29165,21246,12004,591588,255658,263285,518943,9826,20305,2196,1382,1,100,293,886,3849,4238,1170,149,650,7371,0,5219,2178,12623,1226,153,91.47869801,8.521301987,4.92995125,3.591350737,3.432287335,0.371204284,0.882201803,2.133748487,0.368161626,0.207238822,0.233608525,0.000169037,0.016903656,0.049527712,0.149766391,0.650621716,0.025862594,27.62529833,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,Special,FSM eligible,20894,1591,22485,11784,5263,6521,354,34269,10407,10242,20649,245,1620,309,92,242,0,69,459,2472,1380,456,3,9,195,4,362,109,6046,4,0,65.61323645,34.38676355,15.35790364,19.0288599,4.727304561,0.901689574,1.056348303,17.64276752,0.318071727,0.011672357,0.26846421,0.706177595,0,0.201348157,1.339402959,7.213516589,0,66.66666667,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,Secondary,FSM Not eligible,4121771,155520,4277291,349383,245151,104232,139526,4626674,2008909,1981635,3990544,131227,151459,18014,4672,33755,967,1510,5913,28836,20640,11316,605,14043,82444,37788,14359,8299,78616,2958,25,92.44850621,7.551493794,5.298644339,2.252849455,3.273604321,0.389350968,0.310352534,1.69919039,0.179372915,0.063933616,0.100979667,0.729573772,0.020900543,0.032636836,0.127802391,0.623255496,0.000540345,24.22140801,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Primary,FSM Not eligible,894952,18070,913022,52779,29338,23441,6578,965801,443030,445764,888794,6158,22415,1938,1473,0,364,843,154,2140,6617,1210,1,489,10963,0,18115,420,4405,501,11,94.53520963,5.464790366,3.037685817,2.427104548,2.320871484,0.200662455,1.87564519,0.456098099,0.043487219,0.05187404,0.152515891,0,0.037688923,0.087285062,0.015945314,0.221577737,0.001138951,18.06004066,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Secondary,FSM eligible,203490,8102,211592,47791,25379,22412,13685,259383,92948,98812,191760,11730,13031,1564,181,615,119,144,2088,7635,2161,3029,58,815,2860,2208,1808,1955,16915,1734,2,81.5751225,18.4248775,9.784372916,8.640504582,5.023845048,0.602969354,0.697038742,6.521244646,0.753711693,0.668509501,0.06978098,0.237101121,0.045878103,0.05551636,0.80498722,2.94352367,0.000771061,50.84680523,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,816,Secondary,FSM Not eligible,762326,34686,797012,70997,43983,27014,22364,868009,368629,373423,742052,20274,29926,3633,456,393,12,207,1908,7402,3728,1011,4562,1056,17622,7718,5034,2090,18994,896,46,91.82070693,8.179293072,5.067113359,3.112179712,3.447660105,0.418544047,0.579947904,2.188226159,0.240780914,0.103224736,0.052534018,0.045276028,0.001382474,0.023847679,0.219813389,0.852756135,0.005299484,24.09240924,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,889,Primary,FSM eligible,399388,5031,404419,38628,23797,14831,11253,443047,204680,184988,389668,9720,14656,1641,4473,0,188,544,166,2100,1517,1128,10,169,3335,0,4730,1533,7701,867,29,91.28128618,8.718713816,5.371213438,3.347500378,3.308001183,0.370389597,1.067606823,1.738190305,0.346012951,0.195690299,1.009599433,0,0.042433421,0.12278607,0.037467808,0.473990344,0.006545581,31.23566879,202223
