time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Secondary,Female,436225,9814,446039,50067,29022,21045,17907,496106,206629,212779,419408,16817,17731,2064,2377,300,1,407,1381,4761,2215,3216,131,533,6149,786,3350,1090,16058,547,0,89.90800353,10.09199647,5.849959484,4.242036984,3.574034581,0.41604012,0.675258916,3.236808263,0.21971111,0.110258695,0.479131476,0.060470948,0.00020157,0.082038919,0.278367929,0.959673941,0,31.09666597,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Secondary,Male,1247867,48807,1296674,134587,76421,58166,37689,1431261,637379,575377,1212756,35111,46093,4765,234,1886,235,984,7339,14700,11735,3335,170,2237,20649,14016,8271,2578,45512,1805,185,90.59661376,9.403386245,5.339417479,4.063968766,3.220446865,0.332923205,0.577882022,3.17985329,0.180120886,0.126112568,0.016349219,0.131771913,0.016419088,0.068750563,0.512764618,1.027066342,0.012925665,26.20506385,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Secondary,Male,396525,15631,412156,39806,28932,10874,19231,451962,185102,193310,378412,18113,14380,1375,1357,7620,4,190,893,3107,1891,1034,36,1000,9728,2976,1264,1118,7663,829,6,91.19262239,8.807377611,6.401423128,2.405954483,3.181683416,0.304229117,0.27966953,1.695496524,0.247365929,0.1834225,0.300246481,1.68598245,0.00088503,0.042038932,0.197582983,0.687447175,0.001327545,30.03003003,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Special,Male,41137,1170,42307,4511,2809,1702,261,46818,20392,20510,40902,235,1606,542,21,16,0,44,30,550,947,74,0,0,223,0,563,26,882,231,0,90.36481695,9.635183049,5.999829126,3.635353924,3.430304584,1.157674399,1.202528942,1.883890811,0.055534196,0.493399974,0.044854543,0.03417489,0,0.093980947,0.064077919,1.174761844,0,27.35849057,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Secondary,Male,924549,23916,948465,131024,56162,74862,57171,1079489,412600,457629,870229,54320,30675,4284,4186,1911,1,259,6647,8181,4438,10963,251,3402,11522,4303,8499,2851,60494,3018,18,87.86240527,12.13759473,5.202646808,6.934947924,2.841622286,0.396854438,0.787316962,5.603947794,0.264106443,0.279576726,0.387776068,0.177028205,9.26E-05,0.023992834,0.615754306,0.757858579,0.001667456,34.63692197,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000005,Brent,304,Special,Female,5858,1,5859,519,418,101,38,6378,2894,2934,5828,30,250,62,78,0,0,0,0,28,0,9,0,0,1,0,8,8,85,0,0,91.86265287,8.137347131,6.553778614,1.583568517,3.919724051,0.972091565,0.12543117,1.332706177,0.12543117,0,1.222953904,0,0,0,0,0.439009094,0,22.64150943,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Primary,Male,440313,9820,450133,27181,17953,9228,5254,477314,216631,218792,435423,4890,13928,797,1043,0,0,470,88,1626,837,263,114,1237,7632,0,4746,364,3892,226,1,94.30542578,5.694574222,3.761255693,1.933318528,2.917995282,0.166976037,0.994314016,0.815396154,0.076260072,0.047348286,0.218514437,0,0,0.098467675,0.018436501,0.340656256,0.000209506,18.61268823,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000038,Reading,870,Secondary,Female,293241,8796,302037,33327,21077,12250,7228,335364,144288,142764,287052,6189,11595,1143,1749,3807,0,40,612,2131,1747,613,88,522,4303,2136,1481,1039,9116,614,0,90.06243962,9.937560382,6.28481292,3.652747462,3.457437292,0.340823702,0.441609714,2.718240479,0.309812622,0.183084648,0.521522883,1.135184456,0,0.011927339,0.182488281,0.635428967,0,34.08679928,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Primary,Female,2443879,49142,2493021,139579,90615,48964,22245,2632600,1212405,1214412,2426817,17062,68247,6168,2098,1,155,3749,497,9434,11413,1159,274,2179,35274,2,25098,5183,17216,1467,266,94.69805515,5.301944845,3.442034491,1.859910355,2.592380156,0.234293094,0.953354099,0.653954266,0.196877611,0.055724379,0.079693079,3.80E-05,0.005887716,0.142406746,0.018878675,0.358352959,0.01010408,16.90096564,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Special,Male,31796,1030,32826,6719,5561,1158,93,39545,15867,15838,31705,91,1715,405,62,0,26,647,60,2646,968,94,0,0,62,0,60,2,1094,2,0,83.00922999,16.99077001,14.06246049,2.928309521,4.336831458,1.024149703,0.151725882,2.76646858,0.005057529,0.005057529,0.156783411,0,0.065747882,1.63611076,0.151725882,6.691111392,0,44.13407821,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Secondary,Male,514116,22126,536242,45890,29064,16826,17409,582132,246753,250146,496899,17217,19698,2057,318,637,4,233,2377,3739,2492,5309,94,2857,7803,8880,4339,192,11492,803,1,92.11690819,7.883091807,4.992682072,2.890409735,3.38376863,0.353356283,0.745363595,1.974122708,0.03298221,0.137941223,0.054626786,0.109425354,0.000687129,0.040025286,0.408326634,0.642294188,0.000171782,23.46808121,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Primary,Female,1238893,21301,1260194,83460,47565,35895,11829,1343654,611639,617426,1229065,9828,35064,3089,2896,1,987,500,158,4857,3642,369,104,559,16996,0,22592,2001,10511,791,13,93.7885795,6.2114205,3.539973833,2.671446667,2.609600388,0.229895494,1.681385238,0.78226984,0.148922267,0.058869322,0.215531677,7.44E-05,0.073456411,0.037211961,0.01175898,0.361476987,0.000967511,20.94806553,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,Primary,Male,508517,11298,519815,28410,18107,10303,7170,548225,248921,252886,501807,6710,12870,1270,1762,0,100,140,62,1624,2403,24,478,1344,7072,1,3992,460,5520,331,279,94.81782115,5.18217885,3.302840987,1.879337863,2.347576269,0.23165671,0.728168179,1.006885859,0.083907155,0.06037667,0.321400885,0,0.018240686,0.02553696,0.011309225,0.296228738,0.050891514,16.57661552,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Special,Female,8540,212,8752,1008,923,85,37,9760,4284,4221,8505,35,538,96,62,11,0,10,0,204,139,0,2,0,71,0,62,2,21,0,2,89.67213115,10.32786885,9.456967213,0.870901639,5.512295082,0.983606557,0.635245902,0.215163934,0.020491803,0,0.635245902,0.112704918,0,0.102459016,0,2.090163934,0.020491803,27.5862069,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Secondary,Female,806851,24192,831043,82126,39055,43071,33699,913169,379046,395602,774648,32203,23401,2242,2300,3257,0,548,2247,4999,3459,4675,102,414,14459,5758,5994,1496,34341,1240,61,91.00648401,8.993515987,4.276864414,4.716651573,2.562614368,0.245518628,0.656395476,3.760640144,0.163825097,0.135790856,0.251870136,0.356670014,0,0.060010798,0.246066172,0.547434265,0.006680034,30.19979212,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Special,Male,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Primary,Male,838733,16899,855632,52340,29148,23192,8782,907972,414116,417020,831136,7597,20607,2109,1735,0,64,1297,671,2656,3337,338,0,2372,11190,0,12565,1185,8972,470,9,94.23550506,5.76449494,3.210231153,2.554263788,2.269563379,0.232275885,1.383853247,0.988136198,0.130510632,0.051763711,0.191085188,0,0.007048676,0.142845815,0.073900957,0.292520034,0.00099122,18.64642485,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Primary,Male,504257,9614,513871,29704,19711,9993,5276,543575,249255,250725,499980,4277,13832,1404,1727,0,36,333,175,2200,1915,460,400,1240,6057,2,4591,999,3140,1263,4,94.53543669,5.464563308,3.62617854,1.838384768,2.544635055,0.258290024,0.844593662,0.577657177,0.183783287,0.232350642,0.317711447,0,0.006622821,0.061261096,0.032194269,0.404727958,0.000735869,16.17047308,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Special,Male,37645,1039,38684,6778,4192,2586,612,45462,19215,17958,37173,472,2002,398,114,0,0,195,60,1423,627,5,6,16,346,44,100,140,1986,360,0,85.0908451,14.9091549,9.220887774,5.688267124,4.403677797,0.875456425,0.219963926,4.368483569,0.307949496,0.791870133,0.250758876,0,0,0.428929656,0.131978356,3.130086666,0,40.63926941,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Secondary,Male,278868,9443,288311,31635,17886,13749,10769,319946,131300,137773,269073,9795,9350,1274,2605,288,0,104,1662,2602,2020,2681,40,1400,3862,2121,815,974,10140,1820,1,90.11239397,9.887606034,5.590318366,4.297287667,2.92236815,0.398192195,0.254730486,3.169284817,0.304426372,0.568845993,0.814199896,0.09001519,0,0.032505485,0.519462659,0.813262238,0.000312553,30.796565,202223
