time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000003,Barnet,302,Secondary,SEN support,154606,5959,160565,25111,14685,10426,7160,185676,78805,69472,148277,6329,7488,1353,1162,1445,0,66,1334,1837,1285,2737,13,508,3251,902,303,831,8543,749,0,86.47590426,13.52409574,7.90893815,5.615157586,4.032831384,0.728688684,0.163187488,4.601025442,0.447553803,0.403390853,0.625821323,0.77823736,0,0.035545789,0.718455805,0.989357806,0,43.66428963,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Special,SEN support,630,6,636,184,162,22,6,820,310,314,624,6,88,8,18,0,0,3,0,45,2,0,0,0,4,0,10,0,12,0,0,77.56097561,22.43902439,19.75609756,2.682926829,10.73170732,0.975609756,1.219512195,1.463414634,0,0,2.195121951,0,0,0.365853659,0,5.487804878,0,50,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,892,Special,SEN support,713,0,713,133,124,9,12,846,347,354,701,12,62,22,0,0,0,2,0,38,0,0,0,0,0,0,0,0,9,0,0,84.27895981,15.72104019,14.6572104,1.063829787,7.328605201,2.600472813,0,1.063829787,0,0,0,0,0,0.236406619,0,4.491725768,0,44.44444444,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Primary,No SEN,1912838,34623,1947461,115391,63562,51829,28298,2062852,932297,952860,1885157,27681,44499,3031,6626,8,0,3324,159,5725,9687,284,703,478,23755,0,20120,617,29444,1648,190,94.40623952,5.593760483,3.08126807,2.512492413,2.157159118,0.146932499,0.975348692,1.427344279,0.029910047,0.079889396,0.321205787,0.000387813,0,0.161136136,0.007707775,0.277528393,0.009210549,18.32350709,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Secondary,EHC plan,14277,677,14954,2588,1910,678,527,17542,6894,6935,13829,448,985,137,2,26,0,28,63,669,349,168,10,11,163,144,72,79,496,31,0,85.24683616,14.75316384,10.88815414,3.865009691,5.6150952,0.780982784,0.410443507,2.827499715,0.450347737,0.176718732,0.011401209,0.148215711,0,0.159616919,0.359138069,3.813704253,0,36.30952381,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Secondary,No SEN,2569603,112036,2681639,220550,152657,67893,72173,2902189,1372062,1130398,2502460,67143,102479,11186,2958,6756,545,973,3347,24276,6877,4285,474,7472,52843,44370,9075,5030,47573,6215,137,92.40056385,7.59943615,5.260064041,2.339372108,3.531093254,0.385433202,0.312695004,1.639210954,0.173317451,0.214148699,0.101923066,0.232789801,0.018778929,0.033526417,0.115326741,0.836472056,0.004720575,22.82930224,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Primary,No SEN,1086200,18054,1104254,60949,34033,26916,7994,1165203,539544,539862,1079406,6794,25720,2421,1887,0,93,1228,56,2628,3266,124,4,1812,12972,0,14131,1200,10756,829,0,94.76923763,5.230762365,2.920778611,2.309983754,2.207340695,0.207774954,1.212750053,0.923100953,0.102986347,0.071146401,0.16194603,0,0.007981442,0.105389361,0.00480603,0.225540099,0,16.35721493,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Special,EHC plan,37576,1099,38675,4133,2817,1316,429,42808,18454,18721,37175,401,1662,453,101,0,0,0,48,553,285,49,10,0,804,0,273,28,931,84,0,90.34526257,9.654737432,6.580545692,3.07419174,3.882451878,1.058213418,0.637731265,2.174827135,0.065408335,0.196225005,0.235937208,0,0,0,0.112128574,1.291814614,0,30.99730458,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Secondary,SEN support,127624,6511,134135,17987,6576,11411,7486,152122,58256,62596,120852,6772,3256,483,352,374,0,77,643,1383,2383,1782,44,675,1820,1589,458,714,9364,875,6,88.17593773,11.82406227,4.322846137,7.501216129,2.140387321,0.317508316,0.301074138,6.155585648,0.469360119,0.575196224,0.231393224,0.2458553,0,0.050617268,0.422687054,0.909138718,0.003944203,37.77335984,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Primary,No SEN,819551,14423,833974,45576,31231,14345,6958,879550,404669,408555,813224,6327,24236,1919,1076,0,12,1623,61,2300,3273,737,206,851,10093,0,9537,631,4141,36,4,94.81825934,5.181740663,3.550793019,1.630947644,2.755499972,0.218179751,1.084304474,0.470808936,0.071741231,0.004093002,0.122335285,0,0.001364334,0.184526178,0.006935365,0.261497357,0.000454778,17.40196078,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Secondary,SEN support,78360,2510,80870,12606,6606,6000,5784,93476,35166,37906,73072,5288,3600,666,824,126,82,14,538,729,1472,511,26,74,854,84,556,496,4868,80,27,86.51418546,13.48581454,7.067054645,6.418759896,3.851255937,0.712482348,0.594805084,5.207753862,0.530617485,0.085583465,0.881509692,0.134793958,0.087723052,0.014977106,0.575548804,0.779879327,0.02888442,43.85080645,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Secondary,EHC plan,21353,1486,22839,4232,2442,1790,1106,27071,9963,10314,20277,1076,1223,169,2,3,0,26,154,865,760,413,5,111,264,346,192,30,1532,36,0,84.36703483,15.63296517,9.020723283,6.612241882,4.517749621,0.624284289,0.709246057,5.659192494,0.110819696,0.132983636,0.00738798,0.01108197,0,0.096043737,0.568874441,3.195301245,0,34.4,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Secondary,No SEN,390012,15336,405348,50729,34393,16336,24769,456077,176995,188565,365560,24452,17692,1963,6081,4041,1,122,844,2552,3057,2689,310,572,5551,5846,1156,317,10552,4311,1097,88.87709751,11.12290249,7.541051182,3.58185131,3.879169526,0.430409777,0.253465972,2.313644407,0.069505807,0.945235125,1.333327486,0.886034595,0.000219261,0.026749869,0.185056471,0.559554637,0.24052956,42.79161206,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Secondary,SEN support,167449,4784,172233,37728,13919,23809,7249,209961,78928,82737,161665,5784,4546,571,946,521,0,0,5209,2125,2022,2811,32,128,1887,715,1888,1465,19942,514,1,82.0309486,17.9690514,6.629326399,11.339725,2.165164007,0.271955268,0.899214616,9.497954382,0.69774863,0.244807369,0.450559866,0.248141321,0,0,2.480936936,1.012092722,0.000476279,50.47858942,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Primary,No SEN,1267892,22860,1290752,65313,43429,21884,12798,1356065,626267,630033,1256300,11592,32950,2634,1949,3,238,2022,76,3357,3371,98,303,1498,17688,0,9505,1206,10431,742,200,95.18363795,4.816362048,3.202575098,1.61378695,2.429824529,0.194238477,0.700925103,0.769210915,0.08893379,0.054717141,0.143724674,0.000221228,0.017550781,0.149107897,0.005604451,0.247554505,0.014748556,14.2023521,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Secondary,EHC plan,28313,2524,30837,6164,2971,3193,1314,37001,13337,13810,27147,1166,905,209,152,123,0,4,257,1317,1888,804,15,40,364,217,162,148,2792,91,4,83.34099078,16.65900922,8.029512716,8.6294965,2.445879841,0.564849599,0.437826005,7.545742007,0.399989189,0.245939299,0.410799708,0.332423448,0,0.010810519,0.694575822,3.55936326,0.010810519,42.65060241,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000017,Hillingdon,312,Special,EHC plan,47329,3683,51012,6833,4826,2007,472,57845,23356,23675,47031,298,2520,530,442,0,0,132,74,1110,3508,46,18,2,155,0,81,174,1509,243,18,88.18739736,11.81260264,8.342985565,3.46961708,4.356469876,0.91624168,0.140029389,2.608695652,0.300803872,0.420088167,0.764110986,0,0,0.228196041,0.127928084,1.918921255,0.031117642,34.76635514,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Primary,EHC plan,34638,601,35239,3818,1832,1986,1100,39057,16371,17252,33623,1015,1230,196,6,0,0,62,21,299,286,545,6,14,295,0,513,85,1334,54,18,90.22454362,9.775456384,4.690580434,5.084875951,3.149243413,0.501830658,1.313464936,3.415520905,0.217630642,0.138259467,0.015362163,0,0,0.158742351,0.05376757,0.765547789,0.046086489,33.05785124,202223
